extId,setSize,half,wmc
RA1607,6,2,1
RA1724,3,1,1
RA1724,3,2,1
RA1724,6,1,0.708333333
RA1724,6,2,0.666666667
RA2037,3,1,1
RA2037,3,2,1
RA2037,6,1,1
RA2037,6,2,0.708333333
RA2307,3,1,1
RA2307,3,2,1
RA2307,6,1,0.916666667
RA2307,6,2,1
RA2435,3,1,0.916666667
RA2435,3,2,1
RA2435,6,1,0.5
RA2435,6,2,0.708333333
RA2703,3,1,1
RA2703,3,2,1
RA2703,6,1,1
RA2703,6,2,1
RA3059,3,1,0.916666667
RA3059,3,2,1
RA3059,6,1,0.75
RA3059,6,2,0.708333333
RI0316,3,1,1
RI0316,3,2,1
RI0316,6,1,0.791666667
RI0316,6,2,0.833333333
RI0573,3,1,1
RI0573,3,2,1
RI0573,6,1,1
RI0573,6,2,0.833333333
RI1138,3,1,0.916666667
RI1138,3,2,1
RI1138,6,1,0.791666667
RI1138,6,2,0.625
RI1406,3,1,0.916666667
RI1406,3,2,0.416666667
RI1406,6,1,0.375
RI1406,6,2,0.25
RI2080,3,1,1
RI2080,3,2,1
RI2080,6,1,1
RI2080,6,2,0.916666667
RI2490,3,1,1
RI2490,3,2,1
RI2490,6,1,0.833333333
RI2490,6,2,1
RO2840,3,1,1
RO2840,3,2,0.916666667
RO2840,6,1,0.375
RO2840,6,2,0.333333333
RU1941,3,1,0.916666667
RU1941,3,2,1
RU1941,6,1,1
RU1941,6,2,0.791666667
RU3177,3,1,0.333333333
RU3177,3,2,0.416666667
RU3177,6,1,0.166666667
RU3177,6,2,0.291666667
SA0914,3,1,1
SA0914,3,2,1
SA0914,6,1,0.625
SA0914,6,2,0.458333333
SA2280,3,1,0.25
SA2280,3,2,1
SA2280,6,1,0.541666667
SA2280,6,2,0.958333333
SA2885,3,1,0.75
SA2885,3,2,1
SA2885,6,1,1
SA2885,6,2,0.875
SH1024,3,1,0.916666667
SH1024,3,2,1
SH1024,6,1,1
SH1024,6,2,0.791666667
SH1504,3,1,1
SH1504,3,2,1
SH1504,6,1,0.958333333
SH1504,6,2,0.75
SH2796,3,1,1
SH2796,3,2,1
SH2796,6,1,0.708333333
SH2796,6,2,0.416666667
SI0547,3,1,0.833333333
SI0547,3,2,1
SI0547,6,1,0.833333333
SI0547,6,2,1
SZ0779,3,1,0.916666667
SZ0779,3,2,1
SZ0779,6,1,0.958333333
SZ0779,6,2,0.5
TA0364,3,1,1
TA0364,3,2,1
TA0364,6,1,0.708333333
TA0364,6,2,0.958333333
TA0451,3,1,0.333333333
TA0451,3,2,0.25
TA0451,6,1,0.25
TA0451,6,2,0.166666667
TA0820,3,1,0.916666667
TA0820,3,2,0.916666667
TA0820,6,1,0.958333333
TA0820,6,2,0.916666667
TA2304,3,1,1
TA2304,3,2,1
TA2304,6,1,1
TA2304,6,2,0.625
TA2553,3,1,0.25
TA2553,3,2,0.25
TA2553,6,1,0.166666667
TA2553,6,2,0.208333333
TH0246,3,1,0.916666667
TH0246,3,2,1
TH0246,6,1,0.75
TH0246,6,2,0.625
TH0335,3,1,1
TH0335,3,2,0.75
TH0335,6,1,1
TH0335,6,2,1
TH0871,3,1,1
TH0871,3,2,1
TH0871,6,1,1
TH0871,6,2,1
TH1090,3,1,1
TH1090,3,2,1
TH1090,6,1,1
TH1090,6,2,1
TH2817,3,1,1
TH2817,3,2,1
TH2817,6,1,0.708333333
TH2817,6,2,0.916666667
TY3111,3,1,1
TY3111,3,2,1
TY3111,6,1,0.958333333
TY3111,6,2,1
UA1744,3,1,1
UA1744,3,2,0.916666667
UA1744,6,1,0.75
UA1744,6,2,0.875
UB1675,3,1,1
UB1675,3,2,1
UB1675,6,1,1
UB1675,6,2,1
UH1865,3,1,0.916666667
UH1865,3,2,1
UH1865,6,1,0.875
UH1865,6,2,1
UL2052,3,1,1
UL2052,3,2,1
UL2052,6,1,1
UL2052,6,2,0.833333333
UN1577,3,1,1
UN1577,3,2,1
UN1577,6,1,0.875
UN1577,6,2,0.666666667
UN2428,3,1,1
UN2428,3,2,1
UN2428,6,1,1
UN2428,6,2,0.916666667
UR1876,3,1,1
UR1876,3,2,1
UR1876,6,1,0.583333333
UR1876,6,2,0.708333333
UR2297,3,1,1
UR2297,3,2,1
UR2297,6,1,0.708333333
UR2297,6,2,0.666666667
US0117,3,1,1
US0117,3,2,0.916666667
US0117,6,1,0.916666667
US0117,6,2,0.875
UT3036,3,1,0.75
UT3036,3,2,1
UT3036,6,1,1
UT3036,6,2,0.833333333
YA1185,3,1,1
YA1185,3,2,1
YA1185,6,1,0.708333333
YA1185,6,2,0.791666667
YA1310,3,1,1
YA1310,3,2,1
YA1310,6,1,1
YA1310,6,2,0.875
YA1703,3,1,0.5
YA1703,3,2,0.333333333
YA1703,6,1,0.333333333
YA1703,6,2,0.333333333
YA1806,3,1,1
YA1806,3,2,1
YA1806,6,1,0.958333333
YA1806,6,2,0.916666667
YA2120,3,1,0.583333333
YA2120,3,2,0.833333333
YA2120,6,1,0.25
YA2120,6,2,0.041666667
YA2340,3,1,1
YA2340,3,2,1
YA2340,6,1,0.791666667
YA2340,6,2,0.875
YA2363,3,1,0.916666667
YA2363,3,2,1
YA2363,6,1,0.833333333
YA2363,6,2,1
